title,comment_num,director,quote,rating_num
上帝之城,8.9,导演: Kátia Lund / Fernando Meirelles   主演: Alexandre Rodrigues / Lea...,被上帝抛弃了的上帝之城。,167760人评价
摩登时代,9.2,导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...,大时代中的人生，小人物的悲喜。,98529人评价
穿条纹睡衣的男孩,8.9,导演: 马克·赫门 Mark Herman   主演: 阿沙·巴特菲尔德 Asa Butterfield / ...,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,164042人评价
阿凡达,8.6,导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ...,绝对意义上的美轮美奂。,569205人评价
爱在黎明破晓前,8.7,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...,缘分是个连绵词，最美不过一瞬。,239776人评价
消失的爱人,8.7,导演: 大卫·芬奇 David Fincher   主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...,年度最佳date movie。,388352人评价
风之谷,8.8,导演: 宫崎骏 Hayao Miyazaki   主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y...,动画片的圣经。,189937人评价
爱在日落黄昏时,8.7,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,214032人评价
侧耳倾听,8.8,导演: 近藤喜文 Yoshifumi Kondo   主演: 本名阳子 Youko Honna / 小林桂树 K...,少女情怀总是诗。,183447人评价
超脱,8.8,导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 马西...,穷尽一生，我们要学会的，不过是彼此拥抱。,188348人评价
红辣椒,8.9,导演: 今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara / 古谷彻 T...,梦的勾结。,147982人评价
倩女幽魂,8.6,导演: 程小东 Siu-Tung Ching   主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...,两张绝世的脸。 ,277709人评价
恐怖直播,8.7,导演: 金秉祐 Byeong-woo Kim   主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,恐怖分子的“秋菊打官司”。,244262人评价
驯龙高手,8.7,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   主演:...,和谐的生活离不开摸头与被摸头。,306781人评价
萤火虫之墓,8.7,导演: 高畑勋 Isao Takahata   主演: 辰己努 / 白石绫乃 / 志乃原良子,幸福是生生不息，却难以触及的远。 ,218883人评价
幸福终点站,8.6,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...,有时候幸福需要等一等。 ,240851人评价
菊次郎的夏天,8.7,导演: 北野武 Takeshi Kitano   主演: 北野武 Takeshi Kitano / 关口雄介 Yus...,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,197666人评价
小森林 夏秋篇,8.9,导演: 森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,那些静得只能听见呼吸的日子里，你明白孤独即生活。,146497人评价
喜剧之王,8.5,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Ch...,我是一个演员。,344730人评价
七武士,9.2,导演: 黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune / 志村乔 ...,时代悲歌。,83346人评价
借东西的小人阿莉埃蒂,8.7,导演: 米林宏昌 Hiromasa Yonebayashi   主演: 志田未来 Mirai Shida / 神木...,曾经的那段美好会沉淀为一辈子的记忆。,233872人评价
岁月神偷,8.6,导演: 罗启锐 Alex Law   主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,岁月流逝，来日可追。,325196人评价
神偷奶爸,8.5,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud   主演: ...,Mr. I Don't Care其实也有Care的时候。,408020人评价
杀人回忆,8.7,导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,关于连环杀人悬案的集体回忆。,224244人评价
真爱至上,8.5,导演: 理查德·柯蒂斯 Richard Curtis   主演: 休·格兰特 Hugh Grant / 柯林...,爱，是个动词。,334227人评价
电锯惊魂,8.7,导演: 詹姆斯·温 James Wan   主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...,真相就在眼前。,211810人评价
海洋,9,导演: 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud   主演:...,大海啊，不全是水。,103062人评价
贫民窟的百万富翁,8.5,导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan   主演: 戴夫...,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,417373人评价
谍影重重3,8.7,导演: 保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon / ...,像吃了苏打饼一样干脆的电影。,192361人评价
喜宴,8.8,导演: 李安 Ang Lee   主演: 赵文瑄 Winston Chao / 郎雄 Sihung Lung / 归亚...,中国家庭的喜怒哀乐忍。,150789人评价
东邪西毒,8.6,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 张曼玉 Maggie C...,电影诗。,268605人评价
记忆碎片,8.5,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 盖·皮尔斯 Guy Pearce /...,一个针管引发的血案。,297295人评价
雨人,8.6,导演: 巴瑞·莱文森 Barry Levinson   主演: 达斯汀·霍夫曼 Dustin Hoffman ...,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,221414人评价
怪兽电力公司,8.6,导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman   主演: 约...,不要给它起名字，起了名字就有感情了。,259580人评价
英雄本色,8.7,导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,英雄泪短，兄弟情长。 ,181482人评价
黑天鹅,8.5,导演: 达伦·阿罗诺夫斯基 Darren Aronofsky   主演: 娜塔莉·波特曼 Natalie...,黑暗之美。,443133人评价
疯狂原始人,8.7,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   主演...,老少皆宜，这就是好莱坞动画的魅力。,393321人评价
卢旺达饭店,8.8,导演: 特瑞·乔治 Terry George   主演: 唐·钱德尔 Don Cheadle / 苏菲·奥...,当这个世界闭上双眼，他却敞开了怀抱。,128115人评价
燃情岁月,8.7,导演: 爱德华·兹威克 Edward Zwick   主演: 安东尼·霍普金斯 Anthony Hopki...,传奇，不是每个人都可以拥有。,155326人评价
虎口脱险,8.9,导演: 杰拉尔·乌里 Gérard Oury   主演: 路易·德·菲耐斯 Louis de Funès...,永远看不腻的喜剧。,112880人评价
小森林 冬春篇,8.9,导演: 森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,127445人评价
7号房的礼物,8.7,导演: 李焕庆 Hwan-kyeong Lee   主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,《我是山姆》的《美丽人生》。,190883人评价
海边的曼彻斯特,8.6,导演: 肯尼斯·罗纳根 Kenneth Lonergan   主演: 卡西·阿弗莱克 Casey Affle...,我们都有权利不与自己的过去和解。,210993人评价
傲慢与偏见,8.5,导演: 乔·怀特 Joe Wright   主演: 凯拉·奈特莉 Keira Knightley / 马修·...,爱是摈弃傲慢与偏见之后的曙光。,323178人评价
恋恋笔记本,8.5,导演: 尼克·卡索维茨 Nick Cassavetes   主演: 瑞恩·高斯林 Ryan Gosling /...,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,302467人评价
哈利·波特与死亡圣器(下),8.7,导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,10年的完美句点。,291968人评价
荒蛮故事,8.8,导演: 达米安·斯兹弗隆 Damián Szifron   主演: 达里奥·葛兰帝内提 Darío...,始于荒诞，止于更荒诞。,153684人评价
完美的世界,9,导演: 克林特·伊斯特伍德 Clint Eastwood   主演: 凯文·科斯特纳 Kevin Cos...,坏人的好总是比好人的好来得更感人。,87318人评价
萤火之森,8.7,导演: 大森贵弘 Takahiro Omori   主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K...,触不到的恋人。,170441人评价
教父3,8.8,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...,任何信念的力量，都无法改变命运。,139803人评价
纵横四海,8.7,导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,香港浪漫主义警匪动作片的巅峰之作。,157894人评价
魂断蓝桥,8.8,导演: Mervyn LeRoy   主演: Vivien Leigh / Robert Taylor / Lucile Watson,中国式内在的美国电影。,136250人评价
猜火车,8.5,导演: 丹尼·博伊尔 Danny Boyle   主演: 伊万·麦克格雷格 Ewan McGregor / ...,不可猜的青春迷笛。 ,260609人评价
二十二,8.8,导演: 郭柯 Ke Guo   主演:,有一些东西不应该被遗忘。,107479人评价
玩具总动员3,8.8,导演: 李·昂克里奇 Lee Unkrich   主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,跨度十五年的欢乐与泪水。,202840人评价
花样年华,8.5,导演: 王家卫 Kar Wai Wong   主演: 梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...,偷情本没有这样美。,262772人评价
穿越时空的少女,8.6,导演: 细田守 Mamoru Hosoda   主演: 仲里依纱 Riisa Naka / 石田卓也 Takuya...,爱上未来的你。 ,195772人评价
心迷宫,8.6,导演: 忻钰坤 Yukun Xin   主演: 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,187142人评价
雨中曲,9,导演: Stanley Donen / Gene Kelly   主演: Gene Kelly / Donald O'Connor / ...,骨灰级歌舞片。,98008人评价
唐伯虎点秋香,8.4,导演: 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,华太师是黄霑，吴镇宇四大才子之一。,355217人评价
时空恋旅人,8.6,导演: 理查德·柯蒂斯 Richard Curtis   主演: 多姆纳尔·格利森 Domhnall Gl...,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,216573人评价
超能陆战队,8.6,导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams   主演: 斯科特...,Balalala~~~,395868人评价
蝙蝠侠：黑暗骑士崛起,8.6,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...,诺兰就是保证。,312019人评价
